Category,Subject,Level 1 (Initial),Level 2 (Repeatable),Level 3 (Defined),Level 4 (Managed / Capable),Level 5 (Optimized),
Technology,,,,,,,
,Tooling,The Red Team primarily uses off the shelf tooling and/or basic custom scripts; not all operational needs are met by tooling,"The Red Team has modified, or can modify, tooling; C2 frameworks are current and capable of meeting operational needs",The Red Team's tools accomplish primary operational use cases,Custom or other tools accomplish the majority of operational needs; tools support automation or scaled execution of routine tasks,Custom or other tools accomplish all operational requirements and the Red Team uses a custom C2 framework when operationally relevant,
,Infrastructure,"The Red Team uses on-network, corporate workstations to conduct operations; infrastructure does not account for OPSEC","The Red Team uses a single set of externally accessed, static infrastructure for operations; infrastructure is manually set up  per operation with inconsistent configuration; infrastructure accounts for minimal OPSEC considerations",The Red Team's infrastructure deployment is well documented to expedite manual configuration; infrastructure configuration accounts for best practice OPSEC concerns,The Red Team leverages automated deployments for infrastructure; Red Team infrastructure security is self-assessed,"The Red Team's infrastructure is easily customized; infrastructure configuration accounts for advanced OPSEC concerns and undergoes a third-party assessment (another team, whether internal or external to the organization); the Red Team uses operational variety in C2 channels",
,Test Environment,"The Red Team uses disparate configurations in a test environment, such as different VM configurations or dates for AV signatures","The Red Team has a consistent, but minimally customized, test environment","The Red Team's test environment is representative of the target organization's endpoint security tools (e.g. EDR, Domain Policies)","The Red Team's test environment matches the target organization's larger security stack, like configurations or other services, and deployment is automated if managed within the team",The organization maintains a separate test environment for collaborative operations that can be reconfigured to test different elements of the technology stack without affecting production,
People,,,,,,,
,"Relationships with Responders (SOC, IR, Physical etc.)","Inconsistent and occasional interaction without identified points of contact, such as after operation activity is detected","Unscheduled interactions but with identified points of contact; subsets of the teams converse and share knowledge (e.g., manager to manager or individual contributor to individual contributor)); there's a general understanding of deconfliction processes","Responders identified and leveraged as stakeholders for the Red Team, and the Red Team has a documented deconfliction process; response teams and Red Team meet on a recurring, scheduled basis to discuss operational needs or other relevant topics, like metrics or collaborative goals ","The teams have scheduled interactions to share knowledge and build camaraderie; deconfliction efforts are well managed with regard to points of contact, communication mediums, and roles and responsibilities",Red Team understands and leverages response teams' concerns when planning operations; strong individual relationships facilitate frequent and unscheduled knowledge sharing and improvement,
,"Relationships with Engineering Teams (Enterprise/endpoint/server architecture and engineering, detection engineering, etc.)","Inconsistent and occasional interaction without identified points of contact, such as intermittent SME-based questions","Unscheduled interactions but with identified points of contact; subsets of the teams converse and share knowledge (e.g., manager to manager or individual contributor to individual contributor)",SMEs identified on most relevant engineering teams to aid in operations; engineering teams receive appropriate Red Team reporting for their respective areas,"Engineering teams and Red Team meet on a recurring, scheduled basis to discuss pending changes to the environment; the teams have scheduled interactions to share knowledge and build camaraderie",Red Team operations impact engineering and architecture decisions during planning or before implementation is complete; strong individual relationships facilitate frequent and unscheduled knowledge sharing and improvement,
,Relationship with Cyber Threat Intelligence,"Inconsistent and occasional interaction without identified points of contact, such as recent news articles related to breaches at other organizations","Unscheduled interactions but with identified points of contact; subsets of the teams converse and share knowledge (e.g., manager to manager or individual contributor to individual contributor)",The Red Team receives timely reporting from Cyber Threat Intelligence related to current threats to the organization or industry,"Red Team and Cyber Threat Intelligence share information on a recurring, scheduled basis, such as assorted TTPs currently observed in the wild, and this information informs Red Team operations, techniques, or procedures;  the teams have scheduled interactions to share knowledge and build camaraderie",The teams collaboratively create adversary emulation operation plans and objectives to accurately emulate selected threat actors; strong individual relationships facilitate frequent and unscheduled knowledge sharing and improvement,
,Relationship with Legal,"Inconsistent and occasional interaction, such as asking targeted questions about a particular situation","Legal is advised, and provides counsel, on operational rules of engagements during planning",Red Team seeks recurring training from Legal on privilege or other legal matters related to Red Team operations,The Red Team proactively incorporates prior Legal counsel or input into its rules of engagement or future operational practices,The Legal team is considered a strong partner for operations and can be sought to provide ad hoc legal advice during ongoing operations,
,"Relationship with Governance, Risk, and Compliance (GRC)",Red Team findings are communicated to risk owners but don't align to organizational definitions,Red Team findings are tracked by remediation teams but only informally communicated with the risk management team,Red Team and GRC meet on a recurring basis to align definitions on impact and risk ratings,Red Team is a stakeholder in crafting the organization's risk definitions,GRC and Red Team routinely discuss organizational risks and use these discussions to drive operations,
,Relationship with Human Resources (HR),The Red Team doesn't consistently engage HR on matters the team believes may have HR implications,"HR partners are advised, and provides counsel, on operational rules of engagements during planning",Operational situations that have HR implications requiring consultation are clearly identified and documented,HR is included in operational after-action reports and treated as an operational stakeholder if consulted during operations,Identified points of contact on the HR team are considered strong partners for operations and can be sought to provide ad hoc advice during ongoing operations,
,"Relationships with Leadership (Security, IT, Engineering, Corporate)","Inconsistent and occasional interaction, such as leadership not attending readouts consistently",Segment and security leadership receive operational readouts scheduled by the Red Team; Red Team mission not fully understood,"Segment and security leadership receive operational readouts, scheduled in advance; Red Team mission understood; leadership reactively engages the Red Team for support based on existing interactions","The Red Team has recurring, scheduled time with security and organizational leadership for topics outside of operation findings; leadership supports organization-wide efforts to enhance the value of testing; the Red Team seeks out and understands leadership's concerns to formulate operations",The Red Team has consistently demonstrated value and impact resulting in leadership at segment or security levels actively engaging Red Team to influence organization decisions,
,Knowledge of Business and Technical Environment,The Red Team knows which defensive tools are in place,"The Red Team has tribal knowledge gained over time of defensive tools, software, services, and business processes","The Red Team has documented registers of software, services, and key personnel in the organization",SMEs from other teams validate a register of software and services in the environment,"The Red Team is included in meetings discussing major technology changes that affect the organization's security posture, such as changing EDR vendors or acquiring subsidiaries whose networks will be merged",
,Operational Capability,Operations are a mix of third party and internal efforts due to operational knowledge deficiencies,Red Team tactics applied without prioritization of Red Team OPSEC; internal capabilities limited to common TTPs,"The Red Team modifies common TTPs to address operation needs; the Red Team collectively has deep knowledge of common software / services / technologies, such as Active Directory or a CSP in use; the Red Team has identified specializations aligned to operation phases or needs",Red Team operations often result in noteworthy findings based on operation objectives; the Red Team is well versed / highly skilled in defense evasion tactics; Red Team has expertise in less common technologies present in the environment; Red Team specialists are considered SMEs in their operational focuses,"The Red Team has resiliency to achieve operational goals despite setbacks; the Red Team can vary tradecraft and technology to match operational or Cyber Threat Intelligence requirements; the Red Team has the staffing, support, and resources necessary to continuously respond to offensive testing needs",
,Development Capability,The Red Team employs basic scripting knowledge,"The Red Team creates some custom solutions beyond basic scripts with no formal development processes, such as source control or code style guides","The Red Team develops new implementations of common TTPs to avoid signature detection; code adheres to basic tenets of development, source is controlled","The Red Team creates custom solutions to address operation needs, such as stage 0s or implants; source code undergoes some automated checks for style or errors; code undergoes unit and functional testing","The Red Team develops advanced tooling, including custom C2 frameworks, to address operational needs; the team has an automated CI (and CD, if needed) pipeline; the team has dedicated developers",
,Training + Skill Development,Training or development opportunities are infrequently sought on a team or individual level; time for training or development is not consistently available,Time is provided to fill immediate knowledge gaps or maintain existing certifications; the team has  de facto team roles; seniority levels are generally understood,General Red Team needs are identified at most semi-annually; funding and time set aside for selected courses or research opportunities; team roles and seniority levels are well defined,Training and development plans are based on individual needs drawn from skills assessments (individual or team); team knowledge gaps addressed periodically,Team members are encouraged and supported in identifying individual research opportunities to improve themselves and the team; internal Red Team training available for new or junior Red Team members,
Program,,,,,,,
,Red Team Product Lines,The Red Team is not fully distinguished from other offensive testing,The Red Team conducts a consistent mix of overt and covert operations to address different needs,"In addition to operations, the Red Team provides predictive (adversarial) analysis to architecture reviews, table top exercises, or other defensive needs",Prior Red Team operations or TTPs can be run on-demand by defensive teams,The Red Team is responsive to business needs in developing unique and/or advanced service offerings,
,Strategy,The Red Team understands immediate needs but not enough to drive long term planning; operational planning is done within the current month; key relationships not understood,"The Red Team has an established vision, mission, and/or charter and has taken steps to identify needs for the next operation in advance; the Red Team has points of contact for key stakeholders","The Red Team has a documented roadmap extending at least two quarters that identifies, and plans to address, deficiencies related to technology, people, or processes; this roadmap is well understood by stakeholders and is aligned to business objectives",The Red Team has short and long term objectives and tracks progress via identified and socialized metrics,Red Team strategy influences greater organization decisions and objectives and overall security posture,
,Metrics,"The Red Team only anecdotally tracks basic information on operations, such as overall duration or number executed","The Red Team tracks basic facts about work items, such as number of findings from operations",The Red Team has defined KPI/KRIs that are evaluated quarterly; KPIs/KRIs are reported internally,KPIs/KRIs tracked at the organization level; Red Team metrics and objectives relate to and inform blue team metrics,Data sources tracking metrics are fed into an automated business intelligence platform,
,Knowledge Sharing,The Red Team shares operational knowledge within the Red Team and occasionally with blue team partners on high severity issues,The Red Team occasionally shares operational knowledge with the broader organization (other segments or the greater security population) on a periodic basis,The Red Team routinely shares operational knowledge at different levels of the organization; the Red Team contributes to operationally relevant open source projects,The Red Team pursues and obtains public speaking engagements; the Red Team has continuous industry engagement,The Red Team is recognized as industry contributors and features at security conferences and/or has publicly shared a tool / a TTP / knowledge that is widely adopted,
,,,,,,,
